num_gpu,duration,submit_time,iterations,model
5,5505,3114442,11010,bert
1,8568,3482412,17136,bert
5,247,2002639,494,bert
5,238,1803206,476,bert
5,8349,2006444,16698,bert
5,332,2785613,664,bert
5,8109,2006927,16218,bert
1,215,1666398,430,bert
5,7952,2006217,15904,bert
1,5830,2957603,11660,bert
2,7188,1354753,14376,bert
5,1848,1385498,3696,bert
1,808,2531562,1616,bert
5,46843,1648675,93686,bert
5,8103,1859463,16206,bert
16,321,2078600,642,bert
5,8023,2785671,16046,bert
1,15432,3689011,30864,bert
5,4322,3070798,8644,bert
1,17471,2265609,34942,bert
1,250,3732521,500,bert
5,83,3296346,166,bert
1,81,3579977,162,bert
2,7203,2650766,14406,bert
5,634,1686255,1268,bert
8,2300,1912949,4600,bert
1,9070,1744026,18140,bert
1,7084,2346140,14168,bert
1,7491,2957604,14982,bert
5,8841,1683539,17682,bert
5,772,1744699,1544,bert
5,75,1566737,150,bert
3,81,1905985,162,bert
25,163,3634414,326,inception
5,453,2151006,906,bert
8,15228,3026138,30456,bert
8,35587,3125859,71174,bert
5,4221,3070657,8442,bert
1,7001,2346141,14002,bert
8,2565,3041577,5130,bert
5,187,1978531,374,bert
5,1813,1309680,3626,bert
1,6863,2346141,13726,bert
1,2798,3387696,5596,bert
5,889,3750271,1778,bert
5,4114,3283535,8228,bert
1,628,2957604,1256,bert
5,4472,3114685,8944,bert
5,379,1309718,758,bert
16,324,1804537,648,bert
1,1798,1300733,3596,bert
2,33,2864104,66,bert
5,292,2409830,584,bert
5,4431,3193980,8862,bert
2,8910,1706395,17820,bert
5,4269,3114889,8538,bert
5,3068,3544757,6136,bert
5,4445,3367380,8890,bert
1,6992,2607992,13984,bert
5,8392,1673200,16784,bert
5,3662,3729493,7324,bert
16,137,2349497,274,bert
8,65976,1256181,131952,bert
1,7458,2346140,14916,bert
1,11392,3482417,22784,bert
5,377,1309744,754,bert
5,4888,3367797,9776,bert
4,42221,3661731,84442,bert
5,4208,3114770,8416,bert
5,138,2412688,276,bert
1,101,3730339,202,bert
5,9177,2006541,18354,bert
8,46208,1256183,92416,bert
5,244,1975052,488,bert
5,2870,3628111,5740,bert
5,5459,3282364,10918,bert
1,6850,2346140,13700,bert
4,151614,2774147,303228,bert
1,44,1658869,88,bert
1,9915,1394638,19830,bert
10,90,2672175,180,inception
3,1677,2252929,3354,bert
5,49,1590264,98,bert
1,4878,2524226,9756,bert
5,4440,3367174,8880,bert
5,4456,3282640,8912,bert
5,4256,3283471,8512,bert
5,8382,1696812,16764,bert
5,1573,1590317,3146,bert
1,29434,2160786,58868,bert
16,79,3534244,158,bert
5,106,2002295,212,bert
1,208,3753792,416,bert
5,4292,3729412,8584,bert
1,7129,2346140,14258,bert
5,74,1564628,148,bert
16,350,1978551,700,bert
2,9621,1687870,19242,bert
16,91,1721834,182,bert
5,8459,1924917,16918,bert
1,186,1666857,372,bert
1,9810,1394788,19620,bert
3,147,1654778,294,bert
5,132,2150971,264,bert
5,3876,3729494,7752,bert
5,369,1385579,738,bert
8,1150,3587084,2300,bert
8,2805,3126229,5610,bert
10,109,1772551,218,bert
5,74,1154112,148,bert
2,211,2799524,422,bert
5,8368,1926495,16736,bert
5,8075,2006174,16150,bert
3,410,2082266,820,bert
5,3578,3497493,7156,bert
5,661,1859888,1322,bert
5,4221,3367885,8442,bert
1,5686,3577058,11372,bert
5,537,3598891,1074,bert
3,627,2082297,1254,bert
1,12153,1831743,24306,bert
5,3017,3544614,6034,bert
1,12104,3740465,24208,bert
1,12653,3659497,25306,bert
5,102,3030873,204,bert
5,130,1590229,260,bert
1,11479,3482418,22958,bert
5,5507,3036843,11014,bert
5,8358,1696811,16716,bert
2,7154,3082758,14308,bert
1,6666,2346140,13332,bert
8,166846,3199412,333692,bert
1,25455,2265610,50910,bert
5,4313,3115351,8626,bert
5,8103,2006337,16206,bert
1,10373,3482412,20746,bert
1,16812,3689079,33624,bert
2,5124,1339070,10248,bert
3,60,1981375,120,bert
3,98,1654883,196,bert
5,5377,2785691,10754,bert
16,368,2150970,736,bert
5,3622,3729496,7244,bert
2,11360,1687870,22720,bert
1,6858,2957599,13716,bert
1,2200,1592470,4400,bert
5,5423,3069868,10846,bert
5,4476,3114968,8952,bert
5,4454,3282807,8908,bert
5,3067,3729451,6134,bert
5,5043,3283133,10086,bert
2,360,2768786,720,bert
2,418,2268153,836,bert
5,4030,3628109,8060,bert
5,4203,3114665,8406,bert
5,4967,3283092,9934,bert
5,8030,2006134,16060,bert
16,342,1978567,684,bert
5,5419,3036863,10838,bert
8,10604,2655800,21208,bert
3,50,1981262,100,bert
16,848,1978552,1696,bert
8,16959,1913147,33918,bert
25,102,3381478,204,inception
5,8053,2947691,16106,bert
1,29441,2160786,58882,bert
5,3633,3729492,7266,bert
5,5847,3069703,11694,bert
10,160963,2509255,321926,bert
1,7624,2957605,15248,bert
1,2336,2150849,4672,bert
16,654,1804578,1308,bert
5,3026,3497493,6052,bert
1,10141,3482412,20282,bert
1,2590,3569667,5180,bert
2,9389,3589057,18778,bert
10,3953,1581746,7906,bert
1,7410,2957604,14820,bert
5,321,1384899,642,bert
5,5486,3036838,10972,bert
1,186,1666816,372,bert
5,5533,3069726,11066,bert
16,134,2150951,268,bert
2,16877,1620198,33754,bert
1,80,1839889,160,bert
1,7431,3482411,14862,bert
5,134,3030960,268,bert
5,3163,3654735,6326,bert
5,3199,3654654,6398,bert
1,324,3655499,648,bert
5,848,3282867,1696,bert
1,187,1667071,374,bert
1,9072,1744028,18144,bert
5,81,3598621,162,bert
1,7143,2524225,14286,bert
1,10849,1744042,21698,bert
8,10821,3041161,21642,bert
3,559,2082285,1118,bert
3,114,1144905,228,bert
1,8490,3659482,16980,bert
5,96,1659075,192,bert
5,8224,1860143,16448,bert
1,2801,3387696,5602,bert
5,64,3598328,128,bert
1,7699,2957605,15398,bert
5,8374,2006400,16748,bert
1,573,3482412,1146,bert
5,4127,3368006,8254,bert
5,71,3754902,142,bert
2,9104,1687870,18208,bert
5,161,2997319,322,bert
5,4207,3497491,8414,bert
5,5687,3436615,11374,bert
5,8028,1683660,16056,bert
5,4203,3114728,8406,bert
1,36754,3716041,73508,bert
1,9000,1744026,18000,bert
8,14365,3126056,28730,bert
5,8210,2006948,16420,bert
5,4809,3283054,9618,bert
10,2018,2161585,4036,bert
8,2803,2940829,5606,bert
16,473,2151001,946,bert
2,7511,3468484,15022,bert
5,116,3062819,232,bert
5,92,3296641,184,bert
5,321,3754417,642,bert
1,12928,3659483,25856,bert
5,694,1683574,1388,bert
1,7037,2346140,14074,bert
5,8078,1926004,16156,bert
5,91,3754840,182,bert
16,347,1978583,694,bert
5,8197,1683522,16394,bert
5,123,1566959,246,bert
1,5855,2957604,11710,bert
3,140,1905928,280,bert
5,307,1472084,614,bert
1,210,3729289,420,bert
1,12004,3482418,24008,bert
8,142250,3124673,284500,bert
5,4146,3367361,8292,bert
5,3184,3628206,6368,bert
16,128,1721836,256,bert
1,8599,3659483,17198,bert
5,4522,3193738,9044,bert
8,15619,3041517,31238,bert
5,4330,3070776,8660,bert
1,23337,2265606,46674,bert
1,10691,3659481,21382,bert
1,7258,2346142,14516,bert
1,10490,3482415,20980,bert
2,400,2793800,800,bert
5,8484,1696732,16968,bert
5,8007,2947752,16014,bert
5,749,1686174,1498,bert
5,4216,3070636,8432,bert
1,10443,3482417,20886,bert
5,60,1309323,120,bert
6,5531,2162044,11062,bert
3,161,1122276,322,bert
1,12097,1831743,24194,bert
8,27114,3126439,54228,bert
4,6143,3651988,12286,bert
5,120,3598704,240,bert
1,112,3463467,224,bert
5,126,1193328,252,bert
1,46,3659483,92,bert
5,8318,2007241,16636,bert
16,478,3534293,956,bert
3,56,1706283,112,bert
5,5904,3037085,11808,bert
5,280,2234871,560,bert
5,376,3754680,752,bert
1,10230,3482417,20460,bert
5,1364,3654735,2728,bert
2,7162,2305188,14324,bert
4,4409,2260677,8818,bert
1,747,3129273,1494,bert
1,5518,2607991,11036,bert
50,5516,2352054,11032,bert
5,5530,3114463,11060,bert
5,8288,2641764,16576,bert
1,841,2607989,1682,bert
5,5667,1712242,11334,bert
1,12394,3659482,24788,bert
8,20756,1172495,41512,bert
5,8114,1686221,16228,bert
5,71,1151896,142,bert
1,9279,2957603,18558,bert
1,9598,3482418,19196,bert
16,113,2326223,226,bert
25,206,3557066,412,inception
1,59426,2964374,118852,bert
1,8285,1744028,16570,bert
5,241,1714900,482,bert
16,363,3534255,726,bert
5,8557,1696788,17114,bert
5,4360,2641907,8720,bert
1,605,3490342,1210,bert
100,710,3566166,1420,bert
5,4351,3070676,8702,bert
1,747,3075094,1494,bert
5,67,3754753,134,bert
5,8067,2864954,16134,bert
1,9994,3482418,19988,bert
1,7013,2957600,14026,bert
16,70,2326217,140,bert
1,11786,1726283,23572,bert
5,8288,1696809,16576,bert
5,7814,2641784,15628,bert
5,4194,3193900,8388,bert
1,131,3548866,262,bert
16,118,1978581,236,bert
5,3020,3497496,6040,bert
1,7748,2607989,15496,bert
5,95,1857104,190,bert
5,5519,3114240,11038,bert
5,4204,3070212,8408,bert
5,528,3729412,1056,bert
5,3584,3654652,7168,bert
1,2187,3646860,4374,bert
5,8497,1696829,16994,bert
2,7189,1527626,14378,bert
16,137,2150974,274,bert
5,5578,3366873,11156,bert
5,242,1866973,484,bert
8,342,1274544,684,bert
10,217,2861317,434,inception
5,75,3296755,150,bert
1,10816,3482418,21632,bert
5,8009,1683621,16018,bert
1,24773,2265610,49546,bert
5,95,1566580,190,bert
3,62,2261860,124,bert
5,5441,3114360,10882,bert
5,8395,1744820,16790,bert
1,5822,2957604,11644,bert
1,2796,2324409,5592,bert
50,951,3572173,1902,bert
16,90,1721834,180,bert
1,11336,3688821,22672,bert
5,4924,3282989,9848,bert
3,87,1144997,174,bert
2,4274,2881832,8548,bert
1,7265,3740555,14530,bert
5,4446,3282684,8892,bert
8,6505,2289758,13010,bert
1,112,2785223,224,bert
2,214,2794515,428,bert
5,8610,1924993,17220,bert
5,4857,3194488,9714,bert
3,442,1144802,884,bert
16,105,1804557,210,bert
1,9055,3482418,18110,bert
5,298,1168092,596,bert
5,4443,3367012,8886,bert
3,98,2159056,196,bert
5,101,2996567,202,bert
1,10007,1744026,20014,bert
1,6812,1744027,13624,bert
5,1742,2326247,3484,bert
2,886,3382377,1772,resnet
8,56264,1591196,112528,bert
5,8692,1925053,17384,bert
8,214,1737922,428,bert
8,6304,2908864,12608,bert
16,945,1978552,1890,bert
5,322,3754463,644,bert
3,224,1122234,448,bert
1,7822,2346140,15644,bert
10,70,2539861,140,bert
6,72,3551090,144,bert
5,4511,3115049,9022,bert
5,8175,2007160,16350,bert
1,11597,3659486,23194,bert
5,7781,2641888,15562,bert
5,4859,3194300,9718,bert
5,8116,1686213,16232,bert
5,5078,3283192,10156,bert
1,208,1667071,416,bert
16,93,1721811,186,bert
5,7959,2865016,15918,bert
8,10611,2909715,21222,bert
16,713,2150948,1426,bert
2,5103,2653461,10206,bert
1,187,3731820,374,bert
10,243215,2477077,486430,bert
2,5462,3726829,10924,bert
1,22305,2265606,44610,bert
5,138,2996887,276,bert
5,4172,3282765,8344,bert
8,3517,1256424,7034,bert
5,87,1866718,174,bert
1,68,3659482,136,bert
20,722,1382173,1444,bert
5,4489,3367154,8978,bert
1,136,3740649,272,bert
2,8075,3723741,16150,bert
1,10315,3482418,20630,bert
5,3614,3497497,7228,bert
8,142786,3124406,285572,bert
1,9946,1744026,19892,bert
1,9100,1744042,18200,bert
8,35560,1256608,71120,bert
1,10282,3482416,20564,bert
5,119,1978543,238,bert
5,295,1136707,590,bert
5,154,1866867,308,bert
16,86,1804545,172,bert
5,5365,3069806,10730,bert
1,808,2855799,1616,bert
1,5697,2607994,11394,bert
3,575,1823027,1150,bert
2,7154,1614106,14308,bert
5,4339,3497492,8678,bert
30,25,2437539,50,bert
8,3366,3124016,6732,bert
5,68,1566776,136,bert
5,4164,3114826,8328,bert
1,386,1655988,772,bert
5,8305,1860016,16610,bert
30,14688,3498370,29376,bert
5,122,3296724,244,bert
8,2596,1912385,5192,bert
5,210,1590363,420,bert
5,202,1978504,404,bert
5,1603,3534260,3206,bert
16,982,2150957,1964,bert
16,503,1978533,1006,bert
25,972,3464227,1944,inception
5,4171,3282438,8342,bert
5,4464,3367319,8928,bert
1,12361,3659481,24722,bert
1,6768,2346141,13536,bert
5,150,1567228,300,bert
5,5658,3366891,11316,bert
5,101,2956779,202,bert
5,115,3598803,230,bert
5,8031,1672972,16062,bert
5,52,1148535,104,bert
5,8315,1928313,16630,bert
5,2595,3114585,5190,bert
5,4862,2989469,9724,bert
4,6245,3723824,12490,bert
1,8824,3659481,17648,bert
5,10987,3453915,21974,bert
5,8197,2006867,16394,bert
4,1064,3744925,2128,bert
3,114,1905972,228,bert
1,10588,1394606,21176,bert
5,3943,3544552,7886,bert
5,8459,1744769,16918,bert
8,10397,2519696,20794,bert
5,4278,3070614,8556,bert
5,4443,3282728,8886,bert
1,27917,2160787,55834,bert
1,11125,3740642,22250,bert
1,11945,1831743,23890,bert
16,136,2349496,272,bert
16,172,2078507,344,bert
5,4371,3115290,8742,bert
5,3431,3654655,6862,bert
1,81,3558328,162,bert
5,247,1803190,494,bert
5,728,1686205,1456,bert
1,2442,2841985,4884,bert
1,3317,3099469,6634,bert
4,4846,1275260,9692,bert
5,3615,3729460,7230,bert
1,10110,3482418,20220,bert
2,5246,1944489,10492,bert
5,8199,2947673,16398,bert
5,3029,3628153,6058,bert
5,3043,3628150,6086,bert
16,91,2349573,182,bert
1,5678,2607994,11356,bert
16,818,3534256,1636,bert
5,8448,1859766,16896,bert
1,12197,1831743,24394,bert
5,4506,3282536,9012,bert
32,133,2359960,266,bert
4,2172,2274019,4344,bert
5,4099,3283493,8198,bert
5,2198,2150995,4396,bert
16,90,1804519,180,bert
5,5473,3069746,10946,bert
5,5646,3037139,11292,bert
4,1555,2586138,3110,bert
16,163,2326206,326,bert
8,6345,2940949,12690,bert
5,5148,3194543,10296,bert
1,1071,3731680,2142,bert
8,28630,2909909,57260,bert
5,814,2007187,1628,bert
1,8062,1744028,16124,bert
1,8453,2957604,16906,bert
5,807,3296237,1614,bert
1,6561,3740645,13122,bert
40,62,1329010,124,bert
1,2309,2895494,4618,bert
8,3885,2940771,7770,bert
1,12810,3659484,25620,bert
16,79,2150952,158,bert
5,5466,3114484,10932,bert
5,8202,2006602,16404,bert
5,5089,3283173,10178,bert
6,69,1877208,138,bert
5,2975,3497497,5950,bert
5,7985,2006295,15970,bert
5,4284,3070599,8568,bert
16,435,1721863,870,bert
1,20771,1394700,41542,bert
1,10612,3482411,21224,bert
1,3016,3387696,6032,bert
1,2265,3544902,4530,bert
5,4255,3070030,8510,bert
5,1026,1319490,2052,bert
8,9539,1256787,19078,bert
5,4079,3654566,8158,bert
16,856,1721857,1712,bert
16,108,2150949,216,bert
1,7968,2607989,15936,bert
1,7615,3740593,15230,bert
2,130,2861160,260,bert
8,3288,3638688,6576,bert
5,82,3063510,164,bert
1,7374,2346142,14748,bert
16,141,3534281,282,bert
16,69,1978551,138,bert
3,39,1309093,78,bert
5,143,3063001,286,bert
1,18380,2265606,36760,bert
5,149,1648368,298,bert
16,170,1978567,340,bert
5,5502,3107831,11004,bert
5,206,3063449,412,bert
5,104,3296189,208,bert
1,224,3723533,448,bert
1,28612,2160786,57224,bert
10,887,3637993,1774,bert
3,141,1905958,282,bert
5,250,1887733,500,bert
6,3240,2252778,6480,bert
32,8086,2185977,16172,bert
8,16926,1591419,33852,bert
1,2307,1981598,4614,bert
1,8178,3740560,16356,bert
1,12247,1831743,24494,bert
5,2948,3544555,5896,bert
5,2659,3107929,5318,bert
5,4132,3283616,8264,bert
5,3715,3544615,7430,bert
5,4197,3114867,8394,bert
5,4416,3497492,8832,bert
5,3573,3729458,7146,bert
5,3158,3654653,6316,bert
8,441,1255696,882,bert
1,7072,2607989,14144,bert
1,143,3713925,286,bert
8,10370,2681324,20740,bert
5,3322,1673235,6644,bert
5,4019,3544695,8038,bert
5,3035,3544615,6070,bert
8,5277,2858583,10554,bert
100,913,3418194,1826,bert
8,10545,2596193,21090,bert
1,561,3566296,1122,bert
16,130,2150949,260,bert
8,2690,2392262,5380,bert
8,14322,3199740,28644,bert
4,1170,2787788,2340,bert
1,26527,2161641,53054,bert
2,59,1680390,118,bert
25,166,3382756,332,inception
5,3643,3729491,7286,bert
2,13966,2275255,27932,bert
5,8400,2006725,16800,bert
5,76,3598663,152,bert
40,115,1329079,230,bert
2,7005,1734843,14010,bert
2,7343,3428454,14686,bert
2,4381,2962324,8762,bert
5,566,2152137,1132,bert
5,8139,2947711,16278,bert
1,10636,3482417,21272,bert
1,7254,3482409,14508,bert
5,161,2448313,322,bert
5,4122,3367925,8244,bert
5,240,1299526,480,bert
5,5753,3107848,11506,bert
5,8090,1673000,16180,bert
5,5929,3263332,11858,bert
1,2491,3463968,4982,bert
50,1784,1305240,3568,alexnet
1,2167,3387696,4334,bert
5,8293,1925703,16586,bert
1,175,1666856,350,bert
5,228,1680140,456,bert
1,9844,3482417,19688,bert
3,58,2261876,116,bert
1,5872,3661964,11744,bert
32,8978,2254896,17956,bert
15,8581,2252855,17162,bert
5,8055,2785651,16110,bert
1,6924,2524227,13848,bert
5,1512,3063631,3024,bert
1,7160,2346141,14320,bert
5,4183,3367073,8366,bert
8,26242,1557390,52484,bert
1,33,2270529,66,bert
5,4301,3115249,8602,bert
5,97,1566857,194,bert
5,8347,2007030,16694,bert
3,63,2082167,126,bert
16,108,1978559,216,bert
50,889,3724014,1778,bert
25,189,2862328,378,inception
5,130,2266052,260,bert
1,7361,2607993,14722,bert
5,5493,3114402,10986,bert
5,77,3754780,154,bert
4,38299,2593997,76598,bert
5,5412,3114321,10824,bert
5,4471,3070397,8942,bert
1,7119,2346140,14238,bert
5,4518,3115029,9036,bert
5,5631,3036825,11262,bert
1,7725,2957604,15450,bert
1,15840,3659481,31680,bert
2,7905,2391689,15810,bert
5,4394,3070015,8788,bert
5,4452,3282578,8904,bert
1,11006,3482413,22012,bert
16,133,1804542,266,bert
8,55961,1912738,111922,bert
1,10605,3659485,21210,bert
5,4855,3282948,9710,bert
5,58,1157704,116,bert
5,117,2002423,234,bert
5,4351,3115331,8702,bert
5,4129,3283555,8258,bert
10,317,3730679,634,bert
3,44,1706033,88,bert
5,4821,3367680,9642,bert
1,6831,2607989,13662,bert
5,118,2395163,236,bert
1,8991,1744026,17982,bert
16,439,1304967,878,bert
5,378,1309756,756,bert
5,37,2413296,74,bert
5,81,2151006,162,bert
1,11126,1744026,22252,bert
5,8220,2785591,16440,bert
5,738,1683506,1476,bert
3,102,1655034,204,bert
3,215,1822856,430,bert
5,129,1978517,258,bert
5,3059,3729534,6118,bert
8,509,1255663,1018,bert
5,8447,1926917,16894,bert
1,2817,3272500,5634,bert
16,1011,1721825,2022,bert
8,55559,3041330,111118,bert
10,3916,1581696,7832,bert
3,62,2261965,124,bert
8,87090,1256740,174180,bert
2,5168,2980396,10336,bert
5,4445,3367115,8890,bert
5,362,1136679,724,bert
1,151,1717061,302,bert
1,11529,3740643,23058,bert
1,10213,3740644,20426,bert
1,403,3049415,806,bert
5,8492,2006705,16984,bert
5,391,1566906,782,bert
16,450,2078448,900,bert
5,8365,2007261,16730,bert
5,2025,3070817,4050,bert
8,10590,3033274,21180,bert
5,1825,1309667,3650,bert
8,2382,2858849,4764,bert
1,11879,3740604,23758,bert
2,5146,2721554,10292,bert
5,4471,3193940,8942,bert
8,10262,2596263,20524,bert
1,5532,2524226,11064,bert
5,146,3063044,292,bert
16,87,1721839,174,bert
5,4479,3367133,8958,bert
5,2818,3368027,5636,bert
5,621,1696762,1242,bert
5,5506,3037169,11012,bert
5,9644,1924858,19288,bert
1,7726,1744027,15452,bert
5,3745,3729455,7490,bert
5,8815,2586564,17630,bert
5,8067,1683677,16134,bert
6,4797,2161479,9594,bert
5,4480,3070172,8960,bert
1,768,2895220,1536,bert
5,5522,3107584,11044,bert
5,137,2996659,274,bert
5,8119,2947773,16238,bert
5,5575,1193132,11150,bert
1,195,1666861,390,bert
5,4171,3544552,8342,bert
1,10190,1744042,20380,bert
1,1423,2873660,2846,bert
5,4413,3070756,8826,bert
1,5358,2607994,10716,bert
5,198,2061828,396,bert
5,8255,1673255,16510,bert
1,9044,3740645,18088,bert
1,8242,2957606,16484,bert
5,578,2785602,1156,bert
32,10457,1149259,20914,bert
16,133,3534263,266,bert
1,25159,2265609,50318,bert
16,2517,2350178,5034,bert
5,811,1209791,1622,bert
3,169,1144846,338,bert
5,4437,3282846,8874,bert
1,2289,3725207,4578,bert
5,8933,2562993,17866,bert
8,47753,1256517,95506,bert
1,196,1666401,392,bert
5,8488,1686355,16976,bert
16,360,1721819,720,bert
5,3959,3628110,7918,bert
1,8602,1744029,17204,bert
5,658,2007212,1316,bert
1,5677,2607993,11354,bert
5,5366,3069907,10732,bert
5,4999,3367697,9998,bert
3,57,1185732,114,bert
5,3688,3497495,7376,bert
5,744,1686187,1488,bert
5,4439,3282664,8878,bert
5,7950,2864918,15900,bert
16,1006,1978525,2012,bert
4,18040,2249993,36080,bert
5,4445,3070233,8890,bert
3,63,1185755,126,bert
8,86256,2858656,172512,bert
16,357,2326258,714,bert
16,124,1304967,248,bert
1,7818,2957601,15636,bert
5,3045,3654654,6090,bert
1,832,3550409,1664,bert
3,513,1905882,1026,bert
10,2031,2161535,4062,bert
1,6774,2524226,13548,bert
2,26125,2872649,52250,bert
5,695,1926188,1390,bert
5,4220,3070345,8440,bert
5,4444,3282455,8888,bert
5,4834,3283153,9668,bert
5,8457,1696827,16914,bert
5,5037,3283212,10074,bert
5,4168,3070296,8336,bert
1,10629,3740645,21258,bert
5,4866,3367717,9732,bert
1,7032,2346140,14064,bert
5,4170,3114705,8340,bert
5,3053,3628206,6106,bert
5,3033,3628149,6066,bert
5,1815,1385522,3630,bert
5,4049,3544550,8098,bert
25,192,3402265,384,inception
1,5425,2607991,10850,bert
8,3327,3025101,6654,bert
16,131,1804513,262,bert
16,94,3534293,188,bert
5,3363,1860385,6726,bert
5,8727,1925173,17454,bert
16,315,2326214,630,bert
5,116,2777039,232,bert
5,2053,1385528,4106,bert
5,621,2002464,1242,bert
2,7229,1787134,14458,bert
5,5461,3107687,10922,bert
2,214,2797712,428,bert
16,382,2326209,764,bert
16,596,3534323,1192,bert
7,12518,2161395,25036,bert
5,633,1686250,1266,bert
5,8303,2006664,16606,bert
5,2760,3194583,5520,bert
5,8140,1744823,16280,bert
16,71,2150996,142,bert
1,6824,1394657,13648,bert
5,9118,2006046,18236,bert
2,7313,2045984,14626,bert
1,11495,3740644,22990,bert
16,164,2150946,328,bert
1,8211,2346140,16422,bert
6,81,3086595,162,bert
16,129,1804576,258,bert
16,150,1804510,300,bert
3,150,2082212,300,bert
16,967,2326264,1934,bert
2,13213,2541526,26426,bert
16,128,3534292,256,bert
1,7474,2346140,14948,bert
5,4436,3282747,8872,bert
1,6909,2346142,13818,bert
1,6975,2346142,13950,bert
5,8144,1860205,16288,bert
1,2926,3387696,5852,bert
1,8059,2957604,16118,bert
5,2821,3194793,5642,bert
5,8355,1673184,16710,bert
20,659,3454994,1318,bert
8,164184,3125419,328368,bert
2,7462,1959699,14924,bert
9,10153,2161213,20306,bert
5,4851,2989489,9702,bert
30,125,3694609,250,bert
1,2986,3387696,5972,bert
2,11793,1687870,23586,bert
5,3979,3729492,7958,bert
1,9796,1394882,19592,bert
1,10246,3482412,20492,bert
5,8146,1744803,16292,bert
5,5523,3036941,11046,bert
1,2346,3387697,4692,bert
40,58,1329137,116,bert
5,729,1696736,1458,bert
1,187,3753863,374,bert
5,957,1866763,1914,bert
5,5403,3114563,10806,bert
5,5375,3036962,10750,bert
5,5564,3069604,11128,bert
5,3007,3628206,6014,bert
5,5617,3282304,11234,bert
1,7856,2607988,15712,bert
5,3456,3654735,6912,bert
5,8283,2759278,16566,bert
16,468,2326212,936,bert
5,867,3296464,1734,bert
1,91,3675603,182,bert
5,8500,1686277,17000,bert
5,5379,3114344,10758,bert
1,7242,2607989,14484,bert
3,52,1981324,104,bert
9,14173,2161682,28346,bert
